"College Name","rank 2024 R3","score 2024 R3","rank 2024 Stray","score 2024 Stray","score 2025 R2","rank 2025 R2","score 2025 R3","rank 2025 R3","Clear r3","Clear r3 NRI","Virtual r3","Virtual r3 NRI","rank 2024 R2","score 2024 R2",R1,"New R2","Clear R2","Virtual R2","Total R2",state,"rank 2024 R1","score 2024 R1","rank 2025 R1","score 2025 R1",State,Estd,Seats,Years,"Yearly Fee 2024 (₹)","Yearly Fee 2025 (₹)","Increased Fees (₹)"
"Kasturba KMC, Manipal",36053,640,,,508,43835,520,31834,4,1,60,8,39624,635,212,-,54,52,106,Karnataka,40258,635,40008,511,Karnataka,1953,250,4,"1,780,000","1,780,000",0
"Kasturba KMC,Mangalore",46000,629,37269,638,496,57121,509,42695,4,,103,4,53186,622,161,-,22,106,128,Karnataka,57207,618,52466,500,Karnataka,1955,250,4,"1,780,000","1,780,000",0
"K S Hegde Medical Academy, Mangaluru",154283,537,43573,631,442,135252,440,137517,12,,65,13,152827,538,175,-,71,68,139,Karnataka,153008,538,105741,460,Karnataka,1999,250,4.5,"1,778,000","1,778,000",0
"SDU Medical College, Kolar",167303,527,82828,595,382,247191,387,234972,4,2,69,1,183348,515,170,-,64,72,136,Karnataka,216182,492,177905,417,Karnataka,1986,150,4.5,"1,760,000","1,940,000","180,000"
"Jagadguru Medical College, Hubballi",180556,517,122641,562,361,291015,318,394117,13,22,57,,193538,508,90,43,83,38,121,Karnataka,204107,501,198103,406,Karnataka,2021,150,4.5,"1,755,000","1,755,000",0
"BLDE University, Bijapur",185331,514,,,372,267057,356,302710,22,21,77,6,199297,504,170,43,93,78,171,Karnataka,263955,461,207742,401,Karnataka,1986,200,4.5,"1,900,000","1,900,000",0
"Sri Siddhartha Medical College DU, Tumkur",183604,515,116769,566,356,302536,315,402746,9,17,64,,228389,484,170,-,73,70,134,Karnataka,293210,444,217698,396,Karnataka,1988,200,4.5,"1,846,000","1,880,000","34,000"
"Sri Siddhartha Academy,Y Begur",232724,481,117108,566,328,368629,277,511243,25,19,47,,305713,436,127,-,54,62,116,Karnataka,365036,405,252684,379,Karnataka,2019,150,4.5,"1,846,000","1,880,000","34,000"
"Yenepoya Medical College, Mangalore",222862,488,,,344,330106,314,404110,6,17,36,4,261081,463,109,-,28,44,72,Karnataka,352756,411,281006,366,Karnataka,1999,250,4.5,"2,200,000","2,300,000","100,000"
"Raja Rajeswari Medical College, Bengaluru",330221,423,138303,549,321,386653,272,526412,36,31,54,1,371010,402,212,-,89,62,151,Karnataka,374370,400,306923,354,Karnataka,2005,250,4.5,"2,350,000","2,440,000","90,000"
"Yenepoya, Mangalore (MM QUOTA)",154314,537,,,323,381970,351,312752,,,,,351398,412,-,-,23,12,35,Karnataka,402577,386,321845,348,Karnataka,1999,250,4.5,"2,200,000","2,300,000","100,000"
"JawaharLal Nehru M.C., Belagavi",138261,549,89512,589,424,165197,407,196759,10,16,45,,133916,553,158,-,158,0,158,Karnataka,138793,549,XX,XX,Karnataka,1963,200,4.5,"1,915,000","1,915,000",0
"JSS MC, Jagadguru",109265,573,63111,613,425,163330,423,167972,6,4,60,1,117946,565,,-,79,71,,Karnataka,122228,562,117000,453,Karnataka,1984,250,4.5,"1,986,650","1,986,650",
