Marks,2025,2024,2023,2022,2021,,,,,,,,,,,,,,,,,,,,
720,-,"1 to 17",1,-,1,,,,,,,,,,,,,,,,,,,,
715,-,"24 to ~105",19,"1 to 4",19,,,,,,,,,,,,,,,,,,,,
710,-,~375,76,14,45,,,,,,,,,,,,,,,,,,,,
705,-,~853,172,42,100,,,,,,,,,,,,,,,,,,,,
700,-,"~1,655",325,100,202,,,,,,,,,,,,,,,,,,,,
690,-,"~4,012",906,378,512,,,,,,,,,,,,,,,,,,,,
686,1,"~4,810","~1,035",~430,~595,,,,,,,,,,,,,,,,,,,,
651,73,"~26,133","~6,785","~4,237","~3,916",,,,,,,,,,,,,,,,,,,,
601,"1,332","~76,561","~28,600","20,566","~18,647",,,,,,,,,,,,,,,,,,,,
551,"11,990","~1,36,757","~63,635","~48,400","~46,000",,,,,,,,,,,,,,,,,,,,
502,"50,000","~2,02,820","~1,07,104","82,658","~83,211",,,,,,,,,,,,,,,,,,,,
500,"~52,500","~2,08,896","~1,08,032","84,322","85,013",,,,,,,,,,,,,,,,,,,,
464,"100,000","~6,10,725","~1,47,450","~1,14,104","~1,19,184",,,,,,,,,,,,,,,,,,,,
451,"121,014","~2,81,746","~1,62,774","~1,25,737","~1,32,867",,,,,,,,,,,,,,,,,,,,
436,"150,000","~4,72,727","~1,85,235","~1,43,885","~1,52,747",,,,,,,,,,,,,,,,,,,,
405,"200,000","~5,37,277","~2,03,102","~1,64,341","~1,87,514",,,,,,,,,,,,,,,,,,,,
401,"209,253","~3,73,219","~2,29,773","~1,77,959","~1,91,694",,,,,,,,,,,,,,,,,,,,
380,"250,000","~4,16,417","~2,62,692","~2,03,140","~2,19,764",,,,,,,,,,,,,,,,,,,,
357,"300,000","~4,66,582","~3,01,723","~2,32,701","~2,52,100",,,,,,,,,,,,,,,,,,,,
351,"314,831","~5,17,354","~3,18,173","~2,41,144","~2,61,828",,,,,,,,,,,,,,,,,,,,
336,"350,000","~5,17,826","~3,42,467","~2,63,661","~2,84,889",,,,,,,,,,,,,,,,,,,,
316,"400,000","~5,69,658","~3,84,763","~2,95,153","~3,17,984",,,,,,,,,,,,,,,,,,,,
301,"441,766","~6,11,239","~4,18,915","~3,20,673","~3,44,102",,,,,,,,,,,,,,,,,,,,
