Marks,"Rank 2020","Rank 2021","Rank 2022","Rank 2023","Rank 2024","Rank 2025",,,,,,,,,,,,,,,,,,,
720,1,1,10,25,10,0,,,,,,,,,,,,,,,,,,,
700,700,30,200,4000,2200,0,,,,,,,,,,,,,,,,,,,
680,1600,800,1200,7000,6500,3,,,,,,,,,,,,,,,,,,,
660,3500,2500,2800,12000,13000,38,,,,,,,,,,,,,,,,,,,
650,5000,75000,3500,15000,29000,77,,,,,,,,,,,,,,,,,,,
620,15000,25000,11000,28000,55000,464,,,,,,,,,,,,,,,,,,,
600,30000,90000,18000,45000,75000,1386,,,,,,,,,,,,,,,,,,,
580,45000,110000,30000,70000,105000,3600,,,,,,,,,,,,,,,,,,,
550,45000,55000,44000,85000,145000,12460,,,,,,,,,,,,,,,,,,,
520,65000,80000,65000,110000,195000,32363,,,,,,,,,,,,,,,,,,,
500,70000,120000,80000,110000,200000,52705,,,,,,,,,,,,,,,,,,,
480,90000,140000,100000,135000,240000,78070,,,,,,,,,,,,,,,,,,,
450,95000,155000,130000,165000,290000,122750,,,,,,,,,,,,,,,,,,,
420,120000,185000,165000,210000,350000,174056,,,,,,,,,,,,,,,,,,,
400,130000,200000,190000,240000,420000,211069,,,,,,,,,,,,,,,,,,,
380,160000,240000,230000,280000,480000,251690,,,,,,,,,,,,,,,,,,,
350,180000,280000,260000,310000,550000,317254,,,,,,,,,,,,,,,,,,,
300,220000,350000,340000,420000,600000,444930,,,,,,,,,,,,,,,,,,,
250,320000,480000,440000,540000,770000,603978,,,,,,,,,,,,,,,,,,,
200,420000,610000,560000,625000,1000000,802964,,,,,,,,,,,,,,,,,,,
150,550000,740000,720000,810000,1200000,1064479,,,,,,,,,,,,,,,,,,,
