SN,"College Name",Budget,"Round1 Rank 2025","Round1 Score","Round2 Rank 2025","Round2 Score","Score Change",,,,,,,,,,,,,,,,,,
1,"AJAY SANGAAL SHAMLI","₹75,67,061","286,180",382,"382,152",342,-40,,,,,,,,,,,,,,,,,,
2,"DR. B.S KUSHWAH KANPUR","₹75,76,081","323,497",396,"421,396",325,-71,,,,,,,,,,,,,,,,,,
3,"GS HAPUR","₹75,60,224","230,414",410,"323,490",385,-25,,,,,,,,,,,,,,,,,,
4,"HERITAGE IMS VARANASI","₹71,96,888","170,788",344,"249,892",301,-43,,,,,,,,,,,,,,,,,,
5,"HIND IMS BARABANKI","₹67,88,874","176,496",329,"254,928",301,-28,,,,,,,,,,,,,,,,,,
6,"HIND IMS SITAPUR","₹70,03,938","121,578",459,"158,096",420,-39,,,,,,,,,,,,,,,,,,
7,"K.D. MATHURA","₹73,57,126","238,597",385,"343,406",319,-66,,,,,,,,,,,,,,,,,,
8,"KMC MAHARAJGANJ","₹75,76,021","236,397",385,"440,266",341,-44,,,,,,,,,,,,,,,,,,
9,"KRISHAN MOHAN MATHURA","₹64,85,597","254,987",348,"439,830",301,-47,,,,,,,,,,,,,,,,,,
10,"MAYO IMS BARABANKI","₹64,35,624","254,097",349,"387,309",342,-7,,,,,,,,,,,,,,,,,,
11,"MUZAFFARNAGAR MED COLLEGE","₹72,12,698","285,546",350,"295,546",340,-10,,,,,,,,,,,,,,,,,,
12,"NARAINA KANPUR","₹65,02,256","338,016",338,"338,366",322,-16,,,,,,,,,,,,,,,,,,
13,"NATIONAL CAPITAL MEERUT","₹78,61,053","277,234",392,"371,377",338,-54,,,,,,,,,,,,,,,,,,
14,"NOIDA INTERNATIONAL","₹76,70,157","278,096",397,"377,187",332,-65,,,,,,,,,,,,,,,,,,
15,"PRASAD IMS LUCKNOW","₹71,81,038","278,412",371,"377,176",327,-44,,,,,,,,,,,,,,,,,,
16,"RAMA HAPUR","₹78,09,201","178,984",412,"229,134",388,-24,,,,,,,,,,,,,,,,,,
17,"RAMA KANPUR","₹80,42,873","213,738",442,"260,237",414,-28,,,,,,,,,,,,,,,,,,
18,"ROHILKHAND BAREILLY","₹95,86,000","236,556",391,"260,475",361,-30,,,,,,,,,,,,,,,,,,
19,"SARASWATIMS HAPUR","₹65,05,985","164,442",409,"199,852",410,1,,,,,,,,,,,,,,,,,,
20,"SARASWATI UNNAO","₹64,21,509","218,294",318,"402,286",315,-3,,,,,,,,,,,,,,,,,,
21,"SHARDA UNIVERSITY GREATER NOIDA","₹96,69,375","258,083",325,"338,065",418,93,,,,,,,,,,,,,,,,,,
22,"SHRI GORAKHNATH GORAKHPUR","₹75,87,061","161,578",426,"198,606",407,-19,,,,,,,,,,,,,,,,,,
23,"SHRI SIDDHI VINAYAK SAMBHAL","₹75,69,081","323,060",347,"454,388",296,-51,,,,,,,,,,,,,,,,,,
24,"SKS Medical College Mathura","₹66,66,989","246,377",368,"365,398",301,-67,,,,,,,,,,,,,,,,,,
25,"SRI RAMMURTI SHATAK BAREILLY","₹1,05,08,306","173,646",415,"258,746",372,-43,,,,,,,,,,,,,,,,,,
26,"SUBHARTI MEERUT","₹70,76,053","170,498",415,"264,676",372,-43,,,,,,,,,,,,,,,,,,
27,"T.S. MISHRA LUCKNOW","₹69,10,157","139,828",338,"554,477",301,-37,,,,,,,,,,,,,,,,,,
28,"UNITED IMS PRAYAGRAJ","₹65,05,016","143,918",431,"133,162",431,0,,,,,,,,,,,,,,,,,,
29,"VARUNARJUN SHAHJAHANPUR","₹77,47,683","326,398",301,"439,268",301,0,,,,,,,,,,,,,,,,,,
30,"SHRI VENKATESHWARA AMROHA","₹52,01,053","270,498",370,"375,348",325,-45,,,,,,,,,,,,,,,,,,
31,"ERA'S LUCKNOW (Minority)","₹1,03,03,037",333303,349,445176,,-48,,,,,,,,,,,,,,,,,,
32,"INTEGRAL LUCKNOW (Minority)","₹1,06,00,000",418846,301,599901,,-26,,,,,,,,,,,,,,,,,,
33,"CAREER LUCKNOW (Minority)","₹1,06,00,000",545619,285,659512,,-24,,,,,,,,,,,,,,,,,,
34,"F.H. MEDICAL COLLEGE AGRA (Minority)","₹1,13,45,800",433851,254,588708,,0,,,,,,,,,,,,,,,,,,
35,"TEERTHANKAR MORADABAD (Minority)","₹1,09,00,000",336230,351,469180,,-50,,,,,,,,,,,,,,,,,,
