"College Name","Phase-I AIR","Phase-I Marks","Phase-II AIR","Phase-II Marks",Drop,,,,,,,,,,,,,,,,,,,,
"NRI Medical College, Chinakakani","120,288",564,"125,896",559,5,,,,,,,,,,,,,,,,,,,,
"Narayana Medical College, Nellore","176,810",520,"182,202",516,4,,,,,,,,,,,,,,,,,,,,
"Alluri Seetharama Raju Academy of Medical Sciences, Eluru","196,122",506,"216,414",492,14,,,,,,,,,,,,,,,,,,,,
"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences, Gannavaram","208,096",499,"231,406",486,12,,,,,,,,,,,,,,,,,,,,
"GSL Medical College, Rajamahendravaram","226,883",495,"239,306",477,8,,,,,,,,,,,,,,,,,,,,
"Apollo Institute of Medical Sciences and Research, Chittoor","240,980",476,"254,292",468,8,,,,,,,,,,,,,,,,,,,,
"Katuri Medical College and Hospital, Guntur","235,107",480,"261,402",463,17,,,,,,,,,,,,,,,,,,,,
"P.E.S. Institute of Medical Sciences and Research, Kuppam","249,267",471,"266,042",460,11,,,,,,,,,,,,,,,,,,,,
"Konaseema Institute of Medical Sciences and Research Foundation, Amalapuram","254,491",467,"279,295",452,15,,,,,,,,,,,,,,,,,,,,
"Santhiram Medical College, Nandyal","274,217",455,"287,084",447,8,,,,,,,,,,,,,,,,,,,,
"NRI Institute of Medical Sciences, Visakhapatnam","287,353",447,"292,063",444,3,,,,,,,,,,,,,,,,,,,,
"Great Eastern Medical School and Hospital, Srikakulam","281,922",450,"299,296",440,10,,,,,,,,,,,,,,,,,,,,
"Maharaja Institute of Medical Sciences, Vizianagaram","308,501",435,"319,132",429,6,,,,,,,,,,,,,,,,,,,,
"Sri Balaji Medical College Hospital and Research Institute, Renigunta, Tirupati","311,921",433,"320,422",428,5,,,,,,,,,,,,,,,,,,,,
"Viswabharathi Medical College, Kurnool","312,868",432,"320,767",427,6,,,,,,,,,,,,,,,,,,,,
"Gayatri Vidya Parishad Inst. of Health Care and Medical Technology, Visakhapatnam","311,247",433,"322,647",427,6,,,,,,,,,,,,,,,,,,,,
