AIR,"Marks 2025","Marks 2024","Marks 2023","Marks 2022","Marks 2021","Marks 2020","Marks 2019","Marks 2018","Marks 2017","Marks 2016",,,,,,,,,,,,,,,
1,686,720,720,715,720,720,701,691,697,685,,,,,,,,,,,,,,,
100,646,715,705,700,705,700,710,705,698,630,,,,,,,,,,,,,,,
200,633,710,700,694,700,700,705,699,690,603,,,,,,,,,,,,,,,
500,619,705,695,685,690,683,666,660,641,583,,,,,,,,,,,,,,,
1000,606,700,686,676,675,672,660,647,627,564,,,,,,,,,,,,,,,
2000,592,690,676,665,665,662,651,636,609,546,,,,,,,,,,,,,,,
3000,584,690,669,662,657,655,646,629,601,534,,,,,,,,,,,,,,,
4000,577,690,666,657,652,651,642,625,596,528,,,,,,,,,,,,,,,
5000,572,688,661,652,647,647,639,622,592,521,,,,,,,,,,,,,,,
6000,568,680,658,647,642,641,635,618,588,516,,,,,,,,,,,,,,,
7000,564,680,651,642,637,636,630,613,583,511,,,,,,,,,,,,,,,
8000,561,678,648,639,633,632,626,610,579,506,,,,,,,,,,,,,,,
9000,558,676,646,636,630,629,623,606,575,503,,,,,,,,,,,,,,,
10000,555,670,643,621,621,620,620,601,568,495,,,,,,,,,,,,,,,
12500,549,670,634,620,616,618,612,588,554,477,,,,,,,,,,,,,,,
15000,544,660,627,620,611,616,604,582,548,469,,,,,,,,,,,,,,,
17500,540,660,622,616,608,611,598,576,541,462,,,,,,,,,,,,,,,
20000,536,660,617,610,605,610,592,569,535,456,,,,,,,,,,,,,,,
22500,532,660,612,605,600,608,587,565,530,448,,,,,,,,,,,,,,,
25000,529,660,608,600,596,605,582,561,525,441,,,,,,,,,,,,,,,
30000,522,650,601,594,590,600,575,553,516,433,,,,,,,,,,,,,,,
35000,517,645,596,590,586,595,570,546,509,426,,,,,,,,,,,,,,,
40000,511,635,592,586,581,591,565,542,504,417,,,,,,,,,,,,,,,
50000,502,625,568,548,545,518,499,440,447,378,,,,,,,,,,,,,,,
