Code,"Medical College Name","Tuition Fees/Year","Year of ESTB","AI Rank 2025 Round 1 ","Score R1 2025","Round-1 Rank 2024","Round-1 Score 2024","AI Rank 2025 Round 2","Score R2 2025","Round-2 Rank 2024","Round-2 Score 2024"
JMC,"Jubilee Mission Medical College, Thrissur","₹8,16,038",2006,17899,539,15663,665,22069,533,20825,657
AMC,"Amala IMS, Thrissur","₹8,16,038",2002,21885,533,22228,658,26736,526,24806,652
PMC,"Pushpagiri Institute of Medical Science, Tiruvalla","₹8,16,038",2002,28463,524,27236,650,29450,523,28586,646
MMC,"Malankara Orthodox Syrian Church MediCollege, Kolenchery","₹8,16,038",2002,26682,526,25432,651,30264,522,27900,649
GMC,"Sree Gokulam Medical College, Venjaramoodu, TVPM","₹7,71,595",2002,31222,521,29591,646,31697,520,32042,644
BCM,"Believers Church Medical College Hospital, Thiruvalla","₹8,16,038",2016,30401,522,29138,647,33265,518,32082,644
EMC,"MES Medical College, Perinthalmanna, Malappuram","₹8,16,038",2001,29994,522,28383,648,33552,518,29005,648
MMH,"Malabar Medical College Hospital, Kozhikode","₹8,16,038",2014,37092,514,38863,636,44572,507,40300,635
KCM,"KMCT Medical College, Mukkam, Kozikkode","₹8,07,324",2008,42466,509,35051,637,45592,506,46717,627
TRM,"Travancore Medical College, Umayanalloor, Kollam","₹8,16,038",2009,43475,508,40501,635,48032,504,42424,632
SUC,"SUT Academy of Medical Sciences, Thiruvananthapuram","₹7,76,504",2006,40488,511,37766,637,50166,502,50696,624
SMC,"Dr. Somervell Memorial CSI Medical College, Karakonam","₹8,16,038",2009,43744,508,38506,637,50742,501,48094,627
SIM,"Sree Narayana Institute of Medical Sciences, Chalakka, Ernakulam","₹8,49,961",2005,52016,500,48429,626,54489,498,53138,622
DMM,"Dr. Moopens Medical College, Meppadi, Wayanad","₹8,06,779",2013,56268,496,51752,623,62384,491,58905,616
KMM,"Karuna Medical College, Vilayodi, Palakkad","₹7,87,780",2001,48840,503,51330,624,62851,491,65003,617
KDM,"P K Das Institute of Medical Sciences, Ottapalam","₹8,37,000",2010,54562,498,44638,626,63121,491,51752,621
AZC,"Azeezia Institute of Medi Science, Meyyannoor, Kollam","₹8,16,038",2008,54489,498,49211,626,64332,490,57805,617
MZM,"Mount Zion Medical College, Pathanamthitta","₹8,16,038",2014,59571,494,54075,621,67675,487,63213,610
PIM,"Palakkad Institute of Medical Sciences, Walayar","₹8,98,800",2024,62178,492,--,--,71914,484,48131,627
AAM,"Al Azhar Medical college, Thodupuzha","₹8,16,038",2014,62867,491,55951,619,72225,484,65663,610
